"onderdeel","soort plugin","entityrequest","naam","service","classdefinitie","serviceaanroep","filenaam"
"CBM","action","VerslagbeoordelingIndienenRequest","VerslagbeoordelingBehandelPlugin","AutoRSMFactory","public class VerslagbeoordelingBehandelPlugin : ActionPluginEventHandler<VerslagbeoordelingIndienenRequest, VerslagbeoordelingIndienenResponse>, IPlugin","var autoRSM = context.Resolve<AutoRSMFactory>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Cbm.AutoRSM\Verslagbeoordelingen\VerslagbeoordelingBehandelPlugin.cs"
"CBM","action","VerslagIndienenRequest","VerslagBehandelPlugin","AutoRSMFactory","public class VerslagBehandelPlugin : ActionPluginEventHandler<VerslagIndienenRequest, VerslagIndienenResponse>, IPlugin","var autoRSM = context.Resolve<AutoRSMFactory>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Cbm.AutoRSM\Verslagen\VerslagBehandelPlugin.cs"
"CBM","action","VerzoekIndienenRequest","VerzoekBehandelPlugin","AutoRSMFactory","public class VerzoekBehandelPlugin : ActionPluginEventHandler<VerzoekIndienenRequest, VerzoekIndienenResponse>, IPlugin","var autoRSM = context.Resolve<AutoRSMFactory>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Cbm.AutoRSM\Verzoeken\VerzoekBehandelPlugin.cs"
"CBM","entity","Aantekening","AantekeningPlugin","AantekeningService","public class AantekeningPlugin : PluginEventHandler<Aantekening>, IPlugin","context.Resolve<AantekeningService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\AantekeningPlugin.cs"
"CBM","entity","Beloningsbedrag","BeloningsbedragPlugin","BeloningsbedragService","public class BeloningsbedragPlugin : PluginEventHandler<Beloningsbedrag>, IPlugin","context.Resolve<BeloningsbedragService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\BeloningsbedragPlugin.cs"
"CBM","entity","Beslissing","BeslissingPlugin","AmbtshalveBeslissingService","public class BeslissingPlugin : PluginEventHandler<Beslissing>, IPlugin","context.Resolve<AmbtshalveBeslissingService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\BeslissingPlugin.cs"
"CBM","entity","CbmBelanghebbendeDerde","CbmBelanghebbendePlugin","CbmzaakbelanghebbendeService","public class CbmzaakbelanghebbendePlugin : PluginEventHandler<CbmBelanghebbendeDerde>, IPlugin","context.Resolve<CbmzaakbelanghebbendeService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\CbmBelanghebbendePlugin.cs"
"CBM","entity","ExterneTaak","ExterneTaakPlugin","ExterneTaakService","public class ExterneTaakPlugin : PluginEventHandler<ExterneTaak>, IPlugin","context.Resolve<ExterneTaakService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\ExterneTaakPlugin.cs"
"CBM","entity","Notificatie","NotificatiePlugin","NotificatieEntityService","public class NotificatiePlugin : PluginEventHandler<Notificatie>, IPlugin","context.Resolve<NotificatieEntityService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\NotificatiePlugin.cs"
"CBM","entity","Onderneming","OndernemingPlugin","ZaakuitvoerderService","public class OndernemingPlugin : PluginEventHandler<Onderneming>, IPlugin","context.Resolve<ZaakuitvoerderService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\OndernemingPlugin.cs"
"CBM","entity","CbmInstellingsverzoekderde","CbmInstellingsverzoekDerdePlugin","CbmInstellingsverzoekDerdeService","public class CbmInstellingsverzoekDerdePlugin : PluginEventHandler<CbmInstellingsverzoekderde>, IPlugin","context.Resolve<CbmInstellingsverzoekDerdeService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Instellingsverzoeken\CbmInstellingsverzoekDerdePlugin.cs"
"CBM","entity","CbmInstellingsverzoeker","CbmInstellingsverzoekerPlugin","CbmInstellingsverzoekerService","public class CbmInstellingsverzoekerPlugin : PluginEventHandler<CbmInstellingsverzoeker>, IPlugin","context.Resolve<CbmInstellingsverzoekerService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Instellingsverzoeken\CbmInstellingsverzoekerPlugin.cs"
"CBM","action","InstellingsverzoekAfrondenRequest","InstellingsverzoekAfrondenActionPlugin","InstellingsverzoekAfrondenService","public class InstellingsverzoekAfrondenActionPlugin : ActionPluginEventHandler<InstellingsverzoekAfrondenRequest, InstellingsverzoekAfrondenResponse>, IPlugin","context.Resolve<InstellingsverzoekAfrondenService>().Afronden(request.Target.Id);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Instellingsverzoeken\InstellingsverzoekAfrondenActionPlugin.cs"
"CBM","action","InstellingsverzoekChecklistRegistrerenRequest","InstellingsverzoekChecklistRegistrerenActionPlugin","ICrmReadContextAsSystemUser","public class InstellingsverzoekChecklistRegistrerenActionPlugin : ActionPluginEventHandler<InstellingsverzoekChecklistRegistrerenRequest, InstellingsverzoekChecklistRegistrerenResponse>, IPlugin","var systemContext = context.Resolve<ICrmReadContextAsSystemUser>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Instellingsverzoeken\InstellingsverzoekChecklistRegistrerenActionPlugin.cs"
"CBM","action","InstellingsverzoekMeerInformatieRequest","InstellingsverzoekMeerInformatieActionPlugin","InstellingsverzoekMeerInformatieService","public class InstellingsverzoekMeerInformatieActionPlugin : ActionPluginEventHandler<InstellingsverzoekMeerInformatieRequest, InstellingsverzoekMeerInformatieResponse>, IPlugin","context.Resolve<InstellingsverzoekMeerInformatieService>().MeerInformatieVragen(request.Target.Id, request.Toelichting, einddatum);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Instellingsverzoeken\InstellingsverzoekMeerInformatieActionPlugin.cs"
"CBM","entity","CbmInstellingsverzoek","InstellingsverzoekPlugin","InstellingsverzoekService","public class InstellingsverzoekPlugin : PluginEventHandler<CbmInstellingsverzoek>, IPlugin","context.Resolve<InstellingsverzoekService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Instellingsverzoeken\InstellingsverzoekPlugin.cs"
"CBM","entity","CbmPortaalgebruiker","PortaalgebruikerPlugin","PortaalgebruikerService","public class PortaalgebruikerPlugin : PluginEventHandler<CbmPortaalgebruiker>, IPlugin","context.Resolve<PortaalgebruikerService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Portaalgebruiker\PortaalgebruikerPlugin.cs"
"CBM","action","GenereerCbmZakenUitvoerderRapportRequest","GenereerZakenUitvoerderRapportActionPlugin","ZakenUitvoerderRapportService","public class GenereerZakenUitvoerderRapportActionPlugin : ActionPluginEventHandler<GenereerCbmZakenUitvoerderRapportRequest, GenereerCbmZakenUitvoerderRapportResponse>, IPlugin","var service = context.Resolve<ZakenUitvoerderRapportService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Rapporten\GenereerZakenUitvoerderRapportActionPlugin.cs"
"CBM","action","CbmBeschikkingMakenRequest","CbmBeschikkingMakenActionPlugin","ICrmReadContextAsSystemUser","public class CbmBeschikkingMakenActionPlugin : ActionPluginEventHandler<CbmBeschikkingMakenRequest, CbmBeschikkingMakenResponse>, IPlugin","var systemContext = context.Resolve<ICrmReadContextAsSystemUser>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Schrijfhulp\CbmBeschikkingMakenActionPlugin.cs"
"CBM","action","CbmBriefMakenRequest","CbmBriefMakenActionPlugin","ICrmReadContext","public class BriefMakenActionPlugin : ActionPluginEventHandler<CbmBriefMakenRequest, CbmBriefMakenResponse>, IPlugin","var userContext = context.Resolve<ICrmReadContext>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Schrijfhulp\CbmBriefMakenActionPlugin.cs"
"CBM","action","GetBriefCustomersRequest","GetBriefCustomersActionPlugin","BriefCustomerService","public class GetBriefCustomersActionPlugin : ActionPluginEventHandler<GetBriefCustomersRequest, GetBriefCustomersResponse>, IPlugin","var service = context.Resolve<BriefCustomerService>();","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Schrijfhulp\GetBriefCustomersActionPlugin.cs"
"CBM","action","VerslagTonenRequest","OverschredenVerslagenTonenActionPlugin","OverschredenVerslagenRapportService","public class OverschredenVerslagenTonenActionPlugin : ActionPluginEventHandler<VerslagTonenRequest, VerslagTonenResponse>, IPlugin","var html = context.Resolve<OverschredenVerslagenRapportService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Verslagen\OverschredenVerslagenTonenActionPlugin.cs"
"CBM","entity","Verslag","VerslagPlugin","VerslagService","public class VerslagPlugin : PluginEventHandler<Verslag>, IPlugin","context.Resolve<VerslagService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Verslagen\VerslagPlugin.cs"
"CBM","entity","CbmGriffierecht","GriffierechtPlugin","GriffierechtService","public class GriffierechtPlugin : PluginEventHandler<CbmGriffierecht>, IPlugin","context.Resolve<GriffierechtService>().PrepareCreate(record);","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Verzoeken\GriffierechtPlugin.cs"
"CBM","entity","CbmVerzoek","VerzoekPlugin","VerzoekService","public class VerzoekPlugin : PluginEventHandler<CbmVerzoek>, IPlugin","context.Resolve<VerzoekService>()","C:\Beheer\Vibe\toezicht2\Rechtspraak.Toezicht.Processing\Cbm\Verzoeken\VerzoekPlugin.cs"
